Наименование;Цена;Напряжение, В;Бренд;Диаметр;Высота;Цвет арматуры;Цвет плафонов;Количество ламп;Мощность, Вт;Общая мощность, Вт;Стиль;Цоколь
Люстра Odeon Light  4982/6C - 208274;9250;220;Odeon Light;640;530;хром;прозрачный;6;40;240;модерн;E14
Люстра Lussole GRLSC-8007-09 - 108122;15380;220;Lussole;735;160;хром;прозрачный;9;5;45;модерн;G9
Люстра Arte lamp A1150SP-5CC - 9413;10040;220;Arte lamp;500;410;хром;белый;5;40;200;классика;E14
Люстра Odeon Light  4156/9L - 96019;2880;220;Odeon Light;120;350;черный;бронза;3;3;9;модерн;LED
Люстра Vele Luce VL7102P08 - 129490;8360;220;Vele Luce;640;1200;черный;белый;1;40;32;хай-тек;LED
Люстра Lightstar 751187 - 675;48000;220;Lightstar;900;700;черный;белый;18;20;200;модерн;G4
Люстра Lussole LSP-8288 - 147571;12200;220;Lussole;735;36;черный;прозрачный;6;40;240;модерн;E14
Люстра Vele Luce VL7102P12 - 129492;12980;220;Vele Luce;650;1200;черный;белый;1;40;48;хай-тек;LED
Люстра ST Luce SL911.113.01 - 36578;9900;220;ST Luce;600;38;хром;белый;1;32;32;хай-тек;LED
Люстра Chiaro 386016812 - 110391;178910;220;Chiaro;930;720;бронза;белый;12;60;720;арт-деко;E27
Люстра ST Luce SL1140.102.06 - 150712;9700;220;ST Luce;380;380;хром;прозрачный;6;40;240;модерн;E14
Люстра Lussole LSP-9755 - 67436;8660;220;Lussole;600;470;бронза;бронза;5;50;48;лофт;GU10
Люстра Vele Luce VL7086P17 - 129482;8780;220;Vele Luce;930;1500;кофейный;белый;1;60;65;хай-тек;LED
Люстра Arte lamp A2021PL-50WH - 155603;3670;220;Arte lamp;600;120;белый;белый;1;50;50;современный;LED
Люстра Lumion 4557/7C - 199298;5600;220;Lumion;720;310;хром;прозрачный;7;40;280;модерн;E14
Люстра Lightstar 793125 - 87067;38000;220;Lightstar;700;700;хром;прозрачный;12;40;480;хай-тек;G9
Люстра Chiaro 386016708 - 116671;59730;220;Chiaro;930;720;бронза;белый;8;60;480;арт-деко;E27
Люстра ST Luce SL854.102.09 - 33691;9700;220;ST Luce;600;230;хром;хром;9;40;360;хай-тек;E14
Люстра MW-Light 447010512 - 51831;59140;220;MW-Light;600;900;хром;прозрачный;12;40;480;классика;E14
Люстра Reccagni Angelo L. 9800/5 - 105672;24290;220;Reccagni Angelo;600;320;никель;дымчатый;5;60;300;классика;E27
Люстра De Markt 657011307 - 59858;34700;220;De Markt;800;1305;бронза;прозрачный;7;5;35;лофт;LED
Люстра Lightstar 816034 - 180532;16000;220;Lightstar;410;680;хром;прозрачный;3;40;120;арт-деко;E14
