Наименование;Цена;Напряжение, В;Бренд;Диаметр;Высота;Цвет арматуры;Цвет плафонов;Количество ламп;Мощность, Вт;Общая мощность, Вт;Стиль;Цоколь
Люстра Lucia Tucci SALERNO 138.7 - 11380;50080;220;Lucia Tucci;650;475;белый;белый;7;60;420;прованс;E14
Люстра Dio D Arte Nera E 1.1.8 W - 62233;70660;230;Dio D Arte;700;430;бежевый;прозрачный;8;40;320;классика;E14
Люстра Dio D Arte Vicentino E 1.1.8 A - 62243;78380;230;Dio D Arte;750;420;бронза;золото;8;40;320;классика;E14
Люстра Lucia Tucci MILANO 115.8 - 11334;39920;220;Lucia Tucci;820;535;белый;белый;8;60;480;кантри;E14
Люстра Dio D Arte Siena E 1.1.5.200 AG - 53501;46490;220;Dio D Arte;730;460;золото;прозрачный;5;40;200;классика;E14
Люстра Lucia Tucci SALERNO 138.5 - 11379;39450;220;Lucia Tucci;530;415;белый;белый;5;60;300;прованс;E14
Люстра Dio D Arte Nera E 1.1.8 CG - 62220;73590;230;Dio D Arte;700;430;золото;золото;8;40;320;классика;E14
Люстра Dio D Arte Dolce E 1.1.5 G - 53490;28820;220;Dio D Arte;510;320;золото;прозрачный;5;40;200;классика;E14
Люстра Lucia Tucci RAVENNA 118.6 - 11378;57410;220;Lucia Tucci;550;380;белый;черный;6;60;360;модерн;E14
Люстра Lucia Tucci MILANO 115.6 - 11333;42560;220;Lucia Tucci;690;535;белый;белый;6;60;360;кантри;E14
Люстра Dio D Arte Nera E 1.1.15 CG - 62234;146600;230;Dio D Arte;850;520;золото;золото;15;40;600;классика;E14
Люстра Dio D Arte Copia E 1.1.3 C - 53385;24250;220;Dio D Arte;650;550;кремовый;бежевый;3;60;180;прованс;E27
Люстра Dio D Arte Casello E 1.6.6.501 BR - 53582;36770;220;Dio D Arte;760;580;бронза;бежевый;6;60;360;кантри;E27
Люстра Dio D Arte Vicentino E 1.1.10 A - 62229;108660;230;Dio D Arte;890;440;бронза;белый;10;40;400;классика;E14
Люстра Dio D Arte Firenze E 1.1.12.200 W - 53799;275290;220;Dio D Arte;1200;700;белый;белый;12;40;480;классика;E14
Люстра Dio D Arte Dolce E 1.1.12 AG - 53489;71370;220;Dio D Arte;560;360;золото;бежевый;12;40;480;классика;E14
Люстра Dio D Arte Firenze E 1.1.8.200 G - 53803;184780;220;Dio D Arte;850;600;золото;белый;8;40;320;классика;E14
Люстра Dio D Arte Dolce E 1.1.8 AG - 53491;46060;220;Dio D Arte;550;340;золото;бежевый;8;40;320;классика;E14
Люстра Dio D Arte Firenze E 1.1.12.600 W - 53800;269450;220;Dio D Arte;1200;700;белый;белый;12;40;480;классика;E14
Люстра Dio D Arte Galliano E 1.1.12.200 G - 53629;94740;220;Dio D Arte;800;400;золото;бежевый;12;40;480;классика;E14
Люстра Dio D Arte Borgia E 1.1.5 A - 53474;44760;220;Dio D Arte;560;340;бронза;белый;5;40;200;классика;E14
Люстра Dio D Arte Firenze E 1.1.10.600 G - 53789;207410;220;Dio D Arte;980;600;золото;белый;10;40;400;классика;E14
Люстра Dio D Arte Firenze E 1.1.10.200 G - 53788;212340;220;Dio D Arte;980;600;золото;белый;10;40;400;классика;E14
Люстра Dio D Arte Firenze E 1.1.12.600 G - 53796;269450;220;Dio D Arte;1200;700;золото;белый;12;40;480;классика;E14
Люстра Dio D Arte Firenze E 1.1.8.600 W - 53807;175240;220;Dio D Arte;850;600;белый;белый;8;40;320;классика;E14
Люстра Dio D Arte Penna E 1.1.6.500 C - 38199;68250;220;Dio D Arte;700;650;кремовый;белый;6;60;360;прованс;E27
Люстра Dio D Arte Ragusa E 1.13.6 B - 53581;108200;220;Dio D Arte;870;700;черный;коричневый;9;60;540;кантри;E27
Люстра Dio D Arte Gradara E 1.1.12.200 CA - 53814;200780;220;Dio D Arte;900;900;кремовый;бежевый;12;60;720;кантри;E27
Люстра Dio D Arte Castella E 1.1.8.600 GH - 53486;69760;220;Dio D Arte;690;550;золото;белый;8;40;320;классика;E14
Люстра Dio D Arte Firenze E 1.1.12.200 G - 53795;275290;220;Dio D Arte;1200;700;золото;белый;12;40;480;классика;E14
Люстра Dio D Arte Fabrizia E 1.1.8.600 NB - 33019;66570;220;Dio D Arte;700;610;матовый никель;коричневый;8;40;320;классика;E14
Люстра Dio D Arte Santoro E 1.1.5 - 53598;28050;220;Dio D Arte;550;600;бежевый;бежевый;5;60;300;кантри;E27
Люстра Dio D Arte Dorato E 1.13.40.600 S - 53160;41920;220;Dio D Arte;640;630;золото;белый;3;60;180;кантри;E27
Люстра Dio D Arte Penna E 1.1.12.500 C - 53382;96580;220;Dio D Arte;900;720;кремовый;белый;12;60;720;прованс;E27
Люстра Dio D Arte Molfetta E 1.1.8 C - 52694;62990;220;Dio D Arte;910;770;кремовый;белый;8;60;480;прованс;E27
Люстра Dio D Arte Gradara E 1.1.6.600 CA - 53811;111960;220;Dio D Arte;750;550;кремовый;бежевый;6;60;360;кантри;E27
Люстра Dio D Arte Treviso E 1.1.8.200 COG - 53400;98400;220;Dio D Arte;700;600;золото;коричневый;8;40;320;классика;E14
Люстра Dio D Arte Penna E 1.1.8.500 C - 53383;84940;220;Dio D Arte;860;620;кремовый;белый;8;60;480;прованс;E27
Люстра Dio D Arte Siena E 1.1.5.200 G - 53507;46490;220;Dio D Arte;730;460;золото;коричневый;5;40;200;классика;E14
Люстра Dio D Arte Lucca E 1.1.6.200 CG - 53258;64550;220;Dio D Arte;600;550;золото;бежевый;6;40;240;классика;E14
Люстра Lucia Tucci MODENA 1921.24 LED - 44005;115250;220;Lucia Tucci;825;1000;хром;белый;1;95;95;хай-тек;LED
Люстра Dio D Arte Mannelli E 1.1.5.600 GH - 43848;47030;220;Dio D Arte;580;360;золото;белый;5;40;200;классика;E14
Люстра Dio D Arte Gradara E 1.1.12.600 CA - 53815;194500;220;Dio D Arte;900;900;кремовый;бежевый;12;60;720;кантри;E27
Люстра Dio D Arte Grappolo E 1.1.8.600 W - 53595;71220;220;Dio D Arte;800;600;белый;бежевый;8;40;320;прованс;E14
Люстра Dio D Arte Mannelli E 1.1.7.600 GH - 53430;61630;220;Dio D Arte;580;410;золото;бежевый;7;40;280;классика;E14
Люстра Lucia Tucci FIRENZE 1780.6 antique gold - 44002;54880;220;Lucia Tucci;655;520;золото;белый;6;40;240;классика;E14
Люстра Lucia Tucci Fiori di rose 1770.6 - 44016;41340;220;Lucia Tucci;620;460;зеленый;белый;6;40;240;прованс;E14
Люстра Dio D Arte Firenze E 1.1.10.200 W - 53792;212340;220;Dio D Arte;980;600;белый;белый;10;40;400;классика;E14
Люстра Dio D Arte Gradara E 1.1.6.200 CA - 53810;115550;220;Dio D Arte;750;550;кремовый;бежевый;6;60;360;кантри;E27
Люстра Lucia Tucci FIRENZE 1780.8.2 antique gold - 44017;70470;220;Lucia Tucci;720;550;золото;белый;10;40;400;классика;E14
Люстра Lucia Tucci Fiori di rose 1760.8 - 44014;41340;220;Lucia Tucci;810;480;коричневый;белый;8;60;480;кантри;E27
Люстра Lucia Tucci Fiori di rose 1770.10 - 44015;61780;220;Lucia Tucci;1050;580;зеленый;белый;10;40;400;прованс;E14
Люстра Lucia Tucci MODENA 165.5 LED - 16811;25760;220;Lucia Tucci;1050;1200;хром;белый;5;4;20;хай-тек;LED
Люстра Lucia Tucci MODENA 172.2 LED - 17291;32120;220;Lucia Tucci;720;750;хром;белый;2;22.4;400;хай-тек;LED
Люстра Dio D Arte Firenze E 1.1.8.200 W - 53806;184780;220;Dio D Arte;850;600;белый;белый;8;40;320;классика;E14
Люстра Dio D Arte Vercana E 1.1.6.600 S - 43257;84010;220;Dio D Arte;640;650;серебро;белый;6;40;240;классика;E14
Люстра Lucia Tucci MODENA 183.5 LED - 22906;62390;220;Lucia Tucci;650;85;хром;белый;5;8;40;хай-тек;LED
Люстра Lucia Tucci FABIAN 1557.10 ORO - 62737;133790;230;Lucia Tucci;850;370;золото;белый;10;20;200;модерн;G9
Люстра Dio D Arte Diamante E 1.1.16.200 G - 53616;121670;220;Dio D Arte;850;520;золото;белый;16;40;640;классика;E14
Люстра Lucia Tucci FABIAN 1556.10 ARGENTO - 62736;128740;230;Lucia Tucci;640;370;серебро;белый;10;20;200;хай-тек;G9
Люстра Dio D Arte Borgia E 1.1.8 A - 17325;69130;220;Dio D Arte;700;460;бронза;белый;8;40;320;классика;E14
Люстра Lucia Tucci NOVARA 134.7 - 28380;63250;220;Lucia Tucci;730;440;бронза;белый;7;60;420;прованс;E14
Люстра Dio D Arte Firenze E 1.1.8.600 G - 33215;175240;220;Dio D Arte;850;600;золото;белый;8;40;320;классика;E14
Люстра Dio D Arte Mannelli E 1.1.5.200 GH - 31973;51230;220;Dio D Arte;580;360;золото;белый;5;40;200;классика;E14
Люстра Lucia Tucci Grappolo 198.1 bianco - 22903;42850;220;Lucia Tucci;320;500;белый;белый;1;60;60;хай-тек;E27
Люстра Dio D Arte Rossano E 1.1.8.200 GH - 28940;101380;220;Dio D Arte;660;490;золото;белый;8;40;320;классика;E14
Люстра Lucia Tucci Sia 850.400 bianco LED - 33706;16610;230;Lucia Tucci;400;1200;белый;золото;1;24;24;модерн;LED
Люстра Lucia Tucci INESSA 3850.4 silver - 110415;48600;220;Lucia Tucci;580;550;серебро;белый;4;40;160;модерн;E14
Люстра Dio D Arte Fabrizia E 1.1.6.600 NB - 34592;47360;220;Dio D Arte;620;580;матовый никель;белый;6;40;240;классика;E14
Люстра Dio D Arte Dolce E 1.1.8 G - 28418;46060;220;Dio D Arte;550;340;золото;белый;8;40;320;классика;E14
Люстра Lucia Tucci Rumba 1051.9 chrome - 33702;104340;230;Lucia Tucci;800;350;хром;прозрачный;9;40;360;арт-деко;E14
Люстра Dio D Arte Firenze E 1.1.10.600 CG - 111073;163290;220;Dio D Arte;620;60;золото;белый;10;60;600;модерн;E14
Люстра Dio D Arte Molfetta E 1.1.12 C - 46331;78340;220;Dio D Arte;900;720;кремовый;белый;12;60;720;прованс;E27
Люстра Lucia Tucci Rumba 1050.17 chrome - 33708;188660;230;Lucia Tucci;800;950;хром;прозрачный;17;40;680;арт-деко;E14
Люстра Lucia Tucci Sia 851.400 nero LED - 33707;16190;230;Lucia Tucci;400;250;золото;белый;1;24;24;модерн;LED
Люстра Dio D Arte Pianore E 1.1.8 BR - 46334;61680;220;Dio D Arte;860;570;бронза;бежевый;8;60;480;кантри;E27
Люстра Lucia Tucci VETRALLA 180.7 Ivory - 23027;75820;220;Lucia Tucci;580;1240;белый;прозрачный;7;60;420;кантри;E14
Люстра Dio D Arte Casello E 1.1.8.501 BR - 16745;59240;220;Dio D Arte;970;600;бронза;бежевый;8;60;480;кантри;E27
Люстра Dio D Arte Vivaro E 1.1.12 CG - 48998;133440;220;Dio D Arte;620;700;золото;белый;12;40;480;классика;E14
Люстра Lucia Tucci VETRALLA 179.7 antique gold - 23025;73470;220;Lucia Tucci;580;1240;золото;прозрачный;7;60;420;кантри;E14
Люстра Dio D Arte Novara E 1.1.8 G - 28712;254010;220;Dio D Arte;870;520;золото;бежевый;8;40;320;классика;E14
Люстра Lucia Tucci Natura 073.6 Led - 14127;11740;220;Lucia Tucci;860;100;хром;белый;6;5;30;модерн;LED
Люстра Lucia Tucci Madrid 116.6.3 - 12986;63830;220;Lucia Tucci;780;620;черный;белый;9;60;540;кантри;E14
Люстра Lucia Tucci ASHANTI 1260.10 blue - 105538;89640;220;Lucia Tucci;1000;570;голубой;голубой;10;40;400;арт-деко;E14
Люстра Dio D Arte Novara E 1.1.15 G - 28724;433970;220;Dio D Arte;1050;750;золото;белый;15;40;600;классика;E14
Люстра Lucia Tucci Madrid 116.5 - 12985;40950;220;Lucia Tucci;580;480;черный;белый;5;60;300;кантри;E14
Люстра Lucia Tucci Sesto 176.3 R40 - 13015;14110;220;Lucia Tucci;400;250;хром;белый;3;60;180;модерн;E27
Люстра Lucia Tucci TENEREZZA 5490.4 gold - 105536;97870;220;Lucia Tucci;1000;1050;золото;голубой;4;40;160;арт-деко;E14
Люстра Lucia Tucci MODENA 1922.1 LED - 44970;69940;220;Lucia Tucci;800;100;коричневый;белый;1;92;92;модерн;LED
Люстра Dio D Arte Salerno E 1.1.8 G - 28716;171850;220;Dio D Arte;780;500;золото;белый;8;40;320;классика;E14
Люстра Lucia Tucci FABIAN 1552.9 gold - 105540;103030;220;Lucia Tucci;600;1200;золото;золото;9;40;360;модерн;G9
Люстра Lucia Tucci Rimini 101.5 - 13013;19190;220;Lucia Tucci;600;980;хром;белый;5;60;300;модерн;E27
Люстра Lucia Tucci COSMOPOLITAN 2970.8 black - 105543;104370;230;Lucia Tucci;750;1250;хром;черный;8;40;320;арт-деко;E14
Люстра Lucia Tucci Bristol 890.8 ivory - 36710;33320;230;Lucia Tucci;810;1000;бежевый;черный;8;40;320;арт-деко;E14
Люстра Lucia Tucci INESSA 3850.12 silver - 105419;122150;220;Lucia Tucci;600;1000;серебро;золото;12;40;480;модерн;E14
Люстра Lucia Tucci FABIAN 1552.9 nickel - 105415;92740;220;Lucia Tucci;600;1200;матовый никель;матовый никель;9;40;360;модерн;G9
Люстра Lucia Tucci Fiori di rose 1770.24 - 62741;210760;220;Lucia Tucci;1490;1000;зеленый;черный;24;40;960;прованс;E14
Люстра Lucia Tucci INESSA 3850.8 silver - 105545;83890;220;Lucia Tucci;750;760;серебро;черный;8;40;320;модерн;E14
Люстра Lucia Tucci BARI 371.5 ivory - 36703;35790;230;Lucia Tucci;500;990;бежевый;бежевый;5;40;200;модерн;E14
Люстра Lucia Tucci MOON 4671.8 black - 105534;66640;220;Lucia Tucci;750;220;черный;черный;8;40;320;модерн;G9
Люстра Lucia Tucci RUMBA 1071.4 chrome - 62776;40680;220;Lucia Tucci;1490;150;хром;прозрачный;4;20;80;модерн;G4
Люстра Lucia Tucci VIRGINIA 1371.9 chrome - 105437;203830;230;Lucia Tucci;600;810;хром;прозрачный;9;40;360;модерн;E14
Люстра Lucia Tucci NOVARA 134.5 - 36714;46530;220;Lucia Tucci;590;400;бронза;бежевый;5;60;300;прованс;E14
Люстра Lucia Tucci RUMBA 1073.36 chrome - 62777;107070;220;Lucia Tucci;750;500;хром;прозрачный;36;20;720;хай-тек;G9
Люстра Lucia Tucci FABIAN 1532.12 ORO - 62734;133790;220;Lucia Tucci;850;1000;золото;золото;12;40;480;модерн;E14
Люстра Lucia Tucci TENEREZZA 5490.8 gold - 105427;142760;220;Lucia Tucci;600;1400;золото;прозрачный;8;40;320;арт-деко;E14
Люстра Sfera Sveta 8672A/8A BRS CP+CL - 130829;8000;220;Sfera Sveta;590;230;золото;бежевый;8;40;320;прованс;E14
Люстра Lucia Tucci RUMBA 1074.36 chrome - 62778;133790;220;Lucia Tucci;750;500;хром;прозрачный;36;20;720;хай-тек;G9
Люстра Sfera Sveta 5159/4+2 FGD - 98481;7800;220;Sfera Sveta;460;840;золото;золото;6;40;240;классика;E14
Люстра Arti Lampadari Tito E 1.3.40 G - 41493;23910;220;Arti Lampadari;400;250;золото;белый;3;60;180;классика;E27
Люстра Sfera Sveta 8011/6 WT - 143480;4990;220;Sfera Sveta;590;230;белый;белый;1;40;320;хай-тек;LED
Люстра Lucia Tucci FABIAN 1533.12 ARGENTO - 62735;133790;220;Lucia Tucci;850;1000;серебро;серебро;12;40;480;модерн;E14
Люстра Arti Lampadari Solto L 1.5.50 W - 106103;56900;220;Arti Lampadari;550;90;белый;белый;1;37;37;модерн;LED
Люстра Sfera Sveta 8614/6A CFG+CL - 94741;7500;220;Sfera Sveta;500;230;коричневый;золото;6;40;240;классика;E14
Люстра Sfera Sveta 3011/4+4 AN - 136200;4900;220;Sfera Sveta;590;130;никель;белый;8;40;320;хай-тек;LED
Люстра Arti Lampadari Pontone E 1.1.8 PB - 52669;19810;220;Arti Lampadari;700;420;графит;серебро;8;40;320;модерн;E14
Люстра Arti Lampadari Mora H 1.2.40x40.501 N - 52690;24810;220;Arti Lampadari;550;100;матовый никель;прозрачный;12;10;120;модерн;E14
Люстра Arti Lampadari Pontone E 1.1.8 C - 52670;19810;220;Arti Lampadari;700;420;кремовый;золото;8;40;320;модерн;E14
Люстра Arti Lampadari Romano E 1.1.12.600 NB - 52642;57310;220;Arti Lampadari;800;650;графит;серебро;12;40;480;классика;E14
Люстра Arti Lampadari Lenola E 1.1.6 AG - 52666;34360;220;Arti Lampadari;800;460;золото;белый;6;40;240;модерн;E14
Люстра Arti Lampadari Ribera E 1.1.6 CW - 49684;17800;220;Arti Lampadari;670;360;коричневый;белый;6;40;240;модерн;E14
Люстра Arti Lampadari Alberi E 1.1.6.600 NM - 52645;15460;220;Arti Lampadari;620;450;матовый никель;прозрачный;6;40;240;классика;E14
Люстра Arti Lampadari Taviano E 1.1.3 B - 49434;8110;220;Arti Lampadari;560;330;черный;белый;3;60;180;морской;E27
Люстра Arti Lampadari Prato E 1.1.3.600 A - 52651;14240;220;Arti Lampadari;400;450;бронза;белый;4;40;160;классика;E14
Люстра Arti Lampadari Surano E 1.1.6 S - 49687;27030;220;Arti Lampadari;550;490;серый;белый;6;40;240;прованс;E14
Люстра Arti Lampadari Taviano E 1.1.3 WG - 49454;7770;220;Arti Lampadari;560;330;белый;белый;3;60;180;морской;E27
Люстра Arti Lampadari Medea E 1.1.6 GM - 52641;13940;220;Arti Lampadari;600;480;розовый;белый;6;40;240;прованс;E14
Люстра Arti Lampadari Alberi E 1.1.8.600 NM - 52646;20920;220;Arti Lampadari;740;460;матовый никель;прозрачный;8;40;320;классика;E14
Люстра Arti Lampadari Camerino E 1.1.8 WG - 49695;20690;220;Arti Lampadari;750;430;белый;белый;8;40;320;арт-деко;E14
Люстра Arti Lampadari Pontone E 1.1.6 BLUE - 49456;15010;220;Arti Lampadari;570;390;голубой;белый;6;40;240;модерн;E14
Люстра Arti Lampadari Fiore E 1.1.5.602 PB - 52667;31960;220;Arti Lampadari;630;550;графит;белый;5;40;200;классика;E14
Люстра Arti Lampadari Tito E 1.5.40 G - 46332;14950;220;Arti Lampadari;400;550;золото;белый;3;60;180;классика;E27
Люстра Arti Lampadari Taviano E 1.1.5 WG - 49436;11030;220;Arti Lampadari;650;330;белый;белый;5;60;300;морской;E27
Люстра Arti Lampadari Salvatore L 1.1.8 N - 106104;61160;220;Arti Lampadari;650;410;матовый никель;белый;8;60;480;модерн;E14
Люстра Arti Lampadari Artena H 1.3.80.600 N - 106249;41550;220;Arti Lampadari;600;800;матовый никель;белый;10;40;400;модерн;G9
Люстра Kink Light 07517-8,20 - 115631;9950;230;Kink Light;950;1150;бронза;прозрачный;8;5;40;модерн;G4
Люстра Arti Lampadari Pontone E 1.1.6 PB - 49217;15010;220;Arti Lampadari;570;390;графит;белый;6;40;240;модерн;E14
Люстра Arti Lampadari Pontone E 1.1.6 RED - 106219;15010;220;Arti Lampadari;570;390;красный;белый;6;40;240;модерн;E14
Люстра Arti Lampadari Pontone E 1.1.5 PB - 41867;13230;220;Arti Lampadari;550;380;графит;белый;5;40;200;модерн;E14
Люстра Kink Light 07821A - 115766;6950;220;Kink Light;950;190;белый;белый;8;18.5;149;хай-тек;LED
Люстра Arti Lampadari Alberi E 1.1.6.601 N - 106173;15460;220;Arti Lampadari;620;450;матовый никель;белый;6;40;240;классика;E14
Люстра Arti Lampadari Pontone E 1.1.10 PB - 43335;26370;220;Arti Lampadari;800;430;графит;белый;10;40;400;модерн;E14
Люстра Vele Luce VL2194L12 - 129718;13100;220;Vele Luce;900;1020;черный;янтарный;12;40;480;модерн;E14
Люстра Kink Light 074142-2 - 92429;6450;220;Kink Light;700;90;белый;белый;1;141;141;модерн;LED
Люстра Vele Luce VL5153L04 - 129660;9730;220;Vele Luce;800;1200;хром;хром;4;60;240;модерн;E27
Люстра Arti Lampadari Salvatore L 1.1.6 N - 49451;41510;220;Arti Lampadari;720;410;матовый никель;белый;6;60;360;модерн;E14
Люстра Vele Luce VL1973L05 - 129389;11980;220;Vele Luce;660;890;хром;серый;5;40;200;классика;E14
Люстра Arti Lampadari Lario L 1.5.90X20 W - 66272;22310;220;Arti Lampadari;900;250;белый;белый;1;37;37;хай-тек;LED
Люстра Arti Lampadari Tolle L 1.5.68 G - 66279;87200;220;Arti Lampadari;700;340;золото;белый;1;26;26;модерн;LED
Люстра Sfera Sveta 1075/10+5D SWH - 82036;15500;220;Sfera Sveta;850;1240;белый;белый;15;40;360;модерн;E14
Люстра Vele Luce VL5173P06 - 129590;6450;220;Vele Luce;600;1200;хром;хром;6;40;240;модерн;E14
Люстра ST Luce SL1123.203.08 - 142950;38430;230;ST Luce;860;520;золото;черный;8;40;320;модерн;E14
Люстра Arti Lampadari Altedo L 1.5.35 W - 66280;12540;220;Arti Lampadari;500;260;белый;белый;1;40;40;хай-тек;LED
Люстра Vele Luce VL7111P12 - 129501;16730;220;Vele Luce;665;1200;белый;белый;1;40;108;хай-тек;LED
Люстра Vele Luce VL1173L05 - 129595;6000;230;Vele Luce;320;1600;хром;прозрачный;5;28;140;модерн;G9
Люстра Arti Lampadari Altedo L 1.5.44 W - 66281;12540;220;Arti Lampadari;440;220;белый;белый;1;40;40;хай-тек;LED
Люстра Arti Lampadari Cesareo L 1.5.65X40 CF - 66268;48050;220;Arti Lampadari;630;240;коричневый;белый;1;26;26;модерн;LED
Люстра Arti Lampadari Giorgio L 1.5.63 CF - 66271;59400;220;Arti Lampadari;600;200;коричневый;белый;1;12;12;модерн;LED
Люстра Arti Lampadari Azzuro L 1.5.78 W - 66277;78730;220;Arti Lampadari;720;300;белый;белый;1;26;26;хай-тек;LED
Люстра Arti Lampadari Altedo L 1.5.45 W - 66282;12540;220;Arti Lampadari;450;220;белый;белый;1;25;25;хай-тек;LED
Люстра Arti Lampadari Stefano L 1.5.55 G - 66278;56900;220;Arti Lampadari;570;230;золото;белый;1;37;37;модерн;LED
Люстра Arti Lampadari Viticella E 1.1.6.602 C - 22236;22450;220;Arti Lampadari;600;450;кремовый;белый;6;40;240;прованс;E14
Люстра Arti Lampadari Garda L 1.5.78 W - 66270;54360;220;Arti Lampadari;600;130;белый;белый;1;37;37;модерн;LED
Люстра Arti Lampadari Monti E 1.1.8 A - 46323;22120;220;Arti Lampadari;600;370;бронза;белый;8;40;320;модерн;E14
Люстра Arti Lampadari Corsini L 1.5.78 CF - 66269;70780;220;Arti Lampadari;920;130;коричневый;белый;1;19;19;модерн;LED
Люстра Arti Lampadari Viro L 1.5.72 W - 66276;83630;220;Arti Lampadari;700;200;белый;белый;1;26;26;хай-тек;LED
Люстра Arti Lampadari Linera E 1.1.12 A - 46337;41840;220;Arti Lampadari;650;520;бронза;белый;12;40;480;модерн;E14
Люстра Arti Lampadari Angelo L 1.2.35.06 G - 49679;3950;220;Arti Lampadari;350;300;золото;золото;1;38;38;модерн;LED
Люстра Arti Lampadari Monti E 1.1.5 A - 46322;14980;220;Arti Lampadari;480;360;бронза;белый;5;40;200;модерн;E14
Люстра Arti Lampadari Altedo L 1.5.56 W - 66283;12540;220;Arti Lampadari;510;300;белый;белый;1;40;40;хай-тек;LED
Люстра Arti Lampadari Linera E 1.1.8 A - 46319;29900;220;Arti Lampadari;630;430;бронза;белый;8;40;320;модерн;E14
Люстра Arti Lampadari Noventa E 1.1.5 W - 43993;21130;220;Arti Lampadari;600;400;белый;прозрачный;5;40;200;модерн;G9
Люстра Arti Lampadari Meranola E 1.1.8 AG - 48472;62000;220;Arti Lampadari;1080;600;золото;красный;8;40;320;модерн;E14
Люстра Arti Lampadari Monti E 1.1.3 A - 43990;8860;220;Arti Lampadari;400;370;бронза;белый;3;40;120;модерн;E14
Люстра Arti Lampadari Olmedo E 1.1.6 A - 44990;26970;220;Arti Lampadari;420;700;бронза;белый;6;40;240;модерн;E14
Люстра Arti Lampadari Arosio E 1.1.6 G - 40613;26560;220;Arti Lampadari;590;360;золото;прозрачный;6;40;240;модерн;E14
Люстра Lucia Tucci INDUSTRIAL 1828.3 - 44402;18030;220;Lucia Tucci;420;320;черный;черный;3;60;180;лофт;E27
Люстра Arti Lampadari Macerata E 1.1.5 N - 44989;8380;220;Arti Lampadari;660;820;матовый никель;белый;5;40;200;модерн;E14
Люстра Arti Lampadari Pavia E 1.13.P40 G - 14287;62300;220;Arti Lampadari;400;280;золото;белый;3;60;180;классика;E27
Люстра Arti Lampadari Fassano E 1.1.6 W - 40347;13360;220;Arti Lampadari;680;380;белый;прозрачный;6;40;240;модерн;E14
Люстра Lucia Tucci pietra isola 133.6 - 11371;72710;220;Lucia Tucci;670;670;белый;черный;5;60;300;кантри;E14
Люстра Arti Lampadari Romano E 1.1.12.600 G - 37537;57310;220;Arti Lampadari;800;650;золото;белый;12;40;480;классика;E14
Люстра Arti Lampadari Daniela E 1.1.8 A - 24650;20600;220;Arti Lampadari;670;480;бронза;белый;8;40;320;модерн;E14
Люстра Lucia Tucci pietra isola 133.3 - 11370;41950;220;Lucia Tucci;600;620;белый;черный;3;60;180;кантри;E14
Люстра Lucia Tucci VICENZA 117.6 - 11384;57810;220;Lucia Tucci;630;420;белый;бежевый;6;60;360;модерн;E14
Люстра Lucia Tucci pietra isola 132.3 - 11369;49420;220;Lucia Tucci;560;680;белый;прозрачный;3;60;180;кантри;E14
Люстра Lucia Tucci Natura 159.12 - 13980;22220;220;Lucia Tucci;750;240;хром;хром;12;3;36;модерн;LED
Люстра Lucia Tucci Natura 098.6 - 11360;11020;220;Lucia Tucci;530;840;хром;прозрачный;6;60;360;модерн;E14
Люстра Lucia Tucci Natura 088.8 - 11355;18840;220;Lucia Tucci;720;890;хром;белый;8;60;480;модерн;E14
Люстра Lucia Tucci pietra isola 131.5 - 11368;41950;220;Lucia Tucci;620;595;белый;белый;5;60;300;кантри;E27
Люстра Lucia Tucci Natura 150.3 - 12826;7730;220;Lucia Tucci;480;800;хром;белый;3;60;180;модерн;E27
Люстра Lucia Tucci Natura 097.3 - 11358;8050;220;Lucia Tucci;550;770;хром;белый;3;60;180;модерн;E27
Люстра Lucia Tucci VICENZA 117.8 - 11385;70660;220;Lucia Tucci;780;420;белый;бежевый;8;60;480;модерн;E14
Люстра Lucia Tucci Natura 096.3 - 11356;8460;220;Lucia Tucci;500;860;хром;белый;3;60;180;модерн;E27
Люстра Lucia Tucci Natura 088.3 - 11353;11110;220;Lucia Tucci;500;890;хром;белый;3;60;180;модерн;E14
Люстра Lucia Tucci MODENA 1920.2 white LED - 33705;24540;230;Lucia Tucci;780;1000;серый;белый;2;50;100;хай-тек;LED
Люстра Lucia Tucci Natura 082.3 - 11345;6150;220;Lucia Tucci;530;840;хром;бежевый;3;60;180;модерн;E27
Люстра Lucia Tucci Natura 084.9 - 11352;18390;220;Lucia Tucci;500;190;бежевый;белый;9;60;540;модерн;E27
Люстра Lucia Tucci Natura 073.9 Led - 11344;25790;220;Lucia Tucci;530;100;хром;белый;9;5;45;модерн;LED
Люстра Lucia Tucci Natura 071.12 Led - 11343;20210;220;Lucia Tucci;800;800;хром;белый;12;5;60;модерн;LED
Люстра Vele Luce VL2194L12 - 129718;13100;220;Vele Luce;900;1020;черный;янтарный;12;40;480;модерн;E14
Люстра Arti Lampadari Alberi E 1.1.6.601 N - 106173;15460;220;Arti Lampadari;620;450;матовый никель;белый;6;40;240;классика;E14
Люстра Kink Light 074142-2 - 92429;6450;220;Kink Light;700;90;белый;белый;1;141;141;модерн;LED
Люстра Arti Lampadari Pontone E 1.1.10 PB - 43335;26370;220;Arti Lampadari;800;430;графит;белый;10;40;400;модерн;E14
Люстра Arti Lampadari Artena H 1.3.80.600 N - 106249;41550;220;Arti Lampadari;600;800;матовый никель;белый;10;40;400;модерн;G9
Люстра Vele Luce VL1973L05 - 129389;11980;220;Vele Luce;660;890;хром;серый;5;40;200;классика;E14
